Date of Booking,Date of Journey,Airline-Class,Departure Time,Arrival Time,Duration,Total Stops,Price
15/01/2023,16/01/2023,"Vistara 
UK-637
PREMIUMECONOMY","16:45
Delhi","11:15
Mumbai",18h 30m,1-stop,"13,102"
15/01/2023,16/01/2023,"Vistara 
UK-981
PREMIUMECONOMY","21:40
Delhi","23:40
Mumbai",02h 00m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-933
PREMIUMECONOMY","15:30
Delhi","17:35
Mumbai",02h 05m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-943
PREMIUMECONOMY","07:30
Delhi","09:40
Mumbai",02h 10m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-955
PREMIUMECONOMY","17:45
Delhi","19:55
Mumbai",02h 10m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-977
PREMIUMECONOMY","19:00
Delhi","21:15
Mumbai",02h 15m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-985
PREMIUMECONOMY","19:45
Delhi","22:00
Mumbai",02h 15m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-957
PREMIUMECONOMY","20:40
Delhi","22:55
Mumbai",02h 15m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-963
PREMIUMECONOMY","08:50
Delhi","11:10
Mumbai",02h 20m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-941
PREMIUMECONOMY","16:35
Delhi","19:05
Mumbai",02h 30m,non-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-929
PREMIUMECONOMY","21:20
Delhi","06:15
Mumbai",08h 55m,1-stop,"15,992"
15/01/2023,16/01/2023,"Vistara 
UK-833
PREMIUMECONOMY","07:40
Delhi","22:30
Mumbai",14h 50m,1-stop,"17,448"
15/01/2023,16/01/2023,"Vistara 
UK-833
PREMIUMECONOMY","07:40
Delhi","11:45
Mumbai",28h 05m,1-stop,"17,448"
15/01/2023,16/01/2023,"Vistara 
UK-706
PREMIUMECONOMY","13:45
Delhi","11:15
Mumbai",21h 30m,1-stop,"19,710"
15/01/2023,16/01/2023,"Vistara 
UK-635
PREMIUMECONOMY","11:00
Delhi","15:50
Mumbai",04h 50m,1-stop,"19,878"
15/01/2023,16/01/2023,"Vistara 
UK-879
PREMIUMECONOMY","17:35
Delhi","08:15
Mumbai",14h 40m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-899
PREMIUMECONOMY","14:45
Delhi","08:15
Mumbai",17h 30m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-879
PREMIUMECONOMY","17:35
Delhi","14:35
Mumbai",21h 00m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-859
PREMIUMECONOMY","10:30
Delhi","08:15
Mumbai",21h 45m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-899
PREMIUMECONOMY","14:45
Delhi","14:35
Mumbai",23h 50m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-829
PREMIUMECONOMY","07:20
Delhi","08:15
Mumbai",24h 55m,1-stop,"21,200"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","20:40
Mumbai",15h 05m,1-stop,"21,592"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","21:40
Mumbai",16h 05m,1-stop,"21,592"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","08:20
Mumbai",26h 45m,1-stop,"21,592"
15/01/2023,16/01/2023,"Vistara 
UK-855
PREMIUMECONOMY","18:40
Delhi","00:15
Mumbai",05h 35m,1-stop,"21,838"
15/01/2023,16/01/2023,"Vistara 
UK-837
PREMIUMECONOMY","17:35
Delhi","11:45
Mumbai",18h 10m,1-stop,"22,006"
15/01/2023,16/01/2023,"Vistara 
UK-927
PREMIUMECONOMY","09:30
Delhi","11:35
Mumbai",02h 05m,non-stop,"22,286"
15/01/2023,16/01/2023,"Vistara 
UK-993
PREMIUMECONOMY","12:50
Delhi","15:00
Mumbai",02h 10m,non-stop,"22,286"
15/01/2023,16/01/2023,"Vistara 
UK-951
PREMIUMECONOMY","14:20
Delhi","16:30
Mumbai",02h 10m,non-stop,"22,286"
15/01/2023,16/01/2023,"Vistara 
UK-945
PREMIUMECONOMY","11:40
Delhi","13:55
Mumbai",02h 15m,non-stop,"22,286"
15/01/2023,16/01/2023,"Vistara 
UK-929
PREMIUMECONOMY","21:20
Delhi","09:40
Mumbai",12h 20m,1-stop,"22,432"
15/01/2023,16/01/2023,"Vistara 
UK-929
PREMIUMECONOMY","21:20
Delhi","18:45
Mumbai",21h 25m,1-stop,"22,432"
15/01/2023,16/01/2023,"Vistara 
UK-959
PREMIUMECONOMY","06:30
Delhi","06:15
Mumbai",23h 45m,1-stop,"22,432"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","23:20
Mumbai",17h 45m,1-stop,"22,712"
15/01/2023,16/01/2023,"Vistara 
UK-879
PREMIUMECONOMY","17:35
Delhi","23:10
Mumbai",05h 35m,1-stop,"23,753"
15/01/2023,16/01/2023,"Vistara 
UK-829
PREMIUMECONOMY","07:20
Delhi","14:35
Mumbai",07h 15m,1-stop,"23,753"
15/01/2023,16/01/2023,"Vistara 
UK-899
PREMIUMECONOMY","14:45
Delhi","23:10
Mumbai",08h 25m,1-stop,"23,753"
15/01/2023,16/01/2023,"Vistara 
UK-859
PREMIUMECONOMY","10:30
Delhi","23:10
Mumbai",12h 40m,1-stop,"23,753"
15/01/2023,16/01/2023,"Vistara 
UK-829
PREMIUMECONOMY","07:20
Delhi","23:10
Mumbai",15h 50m,1-stop,"23,753"
15/01/2023,16/01/2023,"Vistara 
UK-839
PREMIUMECONOMY","13:40
Delhi","22:30
Mumbai",08h 50m,1-stop,"26,486"
15/01/2023,16/01/2023,"Vistara 
UK-839
PREMIUMECONOMY","13:40
Delhi","11:45
Mumbai",22h 05m,1-stop,"26,486"
15/01/2023,16/01/2023,"Vistara 
UK-781
PREMIUMECONOMY","17:50
Delhi","11:05
Mumbai",17h 15m,1-stop,"27,942"
15/01/2023,16/01/2023,"Vistara 
UK-787
PREMIUMECONOMY","10:20
Delhi","11:05
Mumbai",24h 45m,1-stop,"27,942"
15/01/2023,16/01/2023,"Vistara 
UK-785
PREMIUMECONOMY","06:55
Delhi","11:05
Mumbai",28h 10m,1-stop,"27,942"
15/01/2023,16/01/2023,"Vistara 
UK-879
PREMIUMECONOMY","17:35
Delhi","10:00
Mumbai",16h 25m,1-stop,"28,474"
15/01/2023,16/01/2023,"Vistara 
UK-899
PREMIUMECONOMY","14:45
Delhi","10:00
Mumbai",19h 15m,1-stop,"28,474"
15/01/2023,16/01/2023,"Vistara 
UK-859
PREMIUMECONOMY","10:30
Delhi","10:00
Mumbai",23h 30m,1-stop,"28,474"
15/01/2023,16/01/2023,"Vistara 
UK-829
PREMIUMECONOMY","07:20
Delhi","10:00
Mumbai",26h 40m,1-stop,"28,474"
15/01/2023,16/01/2023,"Vistara 
UK-809
PREMIUMECONOMY","19:55
Delhi","08:20
Mumbai",12h 25m,1-stop,"28,664"
15/01/2023,16/01/2023,"Vistara 
UK-809
PREMIUMECONOMY","19:55
Delhi","23:20
Mumbai",27h 25m,1-stop,"28,664"
15/01/2023,16/01/2023,"Vistara 
UK-871
PREMIUMECONOMY","20:40
Delhi","08:15
Mumbai",11h 35m,1-stop,"28,793"
15/01/2023,16/01/2023,"Vistara 
UK-871
PREMIUMECONOMY","20:40
Delhi","14:35
Mumbai",17h 55m,1-stop,"28,793"
15/01/2023,16/01/2023,"Vistara 
UK-817
PREMIUMECONOMY","16:05
Delhi","21:40
Mumbai",05h 35m,1-stop,"29,224"
15/01/2023,16/01/2023,"Vistara 
UK-817
PREMIUMECONOMY","16:05
Delhi","08:20
Mumbai",16h 15m,1-stop,"29,224"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","11:25
Mumbai",05h 50m,1-stop,"29,415"
15/01/2023,16/01/2023,"Vistara 
UK-811
PREMIUMECONOMY","05:35
Delhi","20:15
Mumbai",14h 40m,1-stop,"29,415"
15/01/2023,16/01/2023,"Vistara 
UK-637
PREMIUMECONOMY","16:45
Delhi","22:00
Mumbai",05h 15m,1-stop,"37,742"
15/01/2023,16/01/2023,"Air India 
AI-805
BUSINESS","20:00
Delhi","22:10
Mumbai",02h 10m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-887
BUSINESS","07:00
Delhi","09:15
Mumbai",02h 15m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-605
BUSINESS","21:20
Delhi","23:35
Mumbai",02h 15m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-814
BUSINESS","22:30
Delhi","00:45
Mumbai",02h 15m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-665
BUSINESS","08:00
Delhi","10:20
Mumbai",02h 20m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-678
BUSINESS","09:00
Delhi","11:20
Mumbai",02h 20m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-865
BUSINESS","10:00
Delhi","12:25
Mumbai",02h 25m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-441
BUSINESS","17:50
Delhi","20:15
Mumbai",02h 25m,non-stop,"25,612"
15/01/2023,16/01/2023,"Air India 
AI-636
BUSINESS","14:30
Delhi","18:15
Mumbai",03h 45m,"1-stop
												Via Indore","25,612"
15/01/2023,16/01/2023,"Vistara 
UK-981
BUSINESS","21:40
Delhi","23:40
Mumbai",02h 00m,non-stop,"30,104"
15/01/2023,16/01/2023,"Air India 
AI-621
BUSINESS","13:20
Delhi","18:15
Mumbai",04h 55m,1-stop,"36,342"
15/01/2023,16/01/2023,"Air India 
AI-433
BUSINESS","11:20
Delhi","09:35
Mumbai",22h 15m,1-stop,"36,525"
15/01/2023,16/01/2023,"Vistara 
UK-979
BUSINESS","13:25
Delhi","18:45
Mumbai",05h 20m,1-stop,"37,193"
15/01/2023,16/01/2023,"Vistara 
UK-929
BUSINESS","21:20
Delhi","06:15
Mumbai",08h 55m,1-stop,"37,193"
15/01/2023,16/01/2023,"Vistara 
UK-929
BUSINESS","21:20
Delhi","09:40
Mumbai",12h 20m,1-stop,"37,193"
15/01/2023,16/01/2023,"Air India 
AI-471
BUSINESS","13:15
Delhi","18:05
Mumbai",04h 50m,1-stop,"40,576"
15/01/2023,16/01/2023,"Air India 
AI-411
BUSINESS","07:05
Delhi","16:25
Mumbai",09h 20m,1-stop,"40,582"
15/01/2023,16/01/2023,"Air India 
AI-811
BUSINESS","18:40
Delhi","16:25
Mumbai",21h 45m,1-stop,"40,582"
15/01/2023,16/01/2023,"Air India 
AI-453
BUSINESS","05:00
Delhi","17:55
Mumbai",12h 55m,1-stop,"42,252"
15/01/2023,16/01/2023,"Air India 
AI-479
BUSINESS","21:15
Delhi","17:55
Mumbai",20h 40m,1-stop,"42,252"
15/01/2023,16/01/2023,"Air India 
AI-463
BUSINESS","14:15
Delhi","17:55
Mumbai",27h 40m,1-stop,"42,252"
15/01/2023,16/01/2023,"Vistara 
UK-635
BUSINESS","11:00
Delhi","15:50
Mumbai",04h 50m,1-stop,"40,777"
15/01/2023,16/01/2023,"Vistara 
UK-635
BUSINESS","11:00
Delhi","14:05
Mumbai",27h 05m,1-stop,"40,777"
15/01/2023,16/01/2023,"Vistara 
UK-951
BUSINESS","14:20
Delhi","16:30
Mumbai",02h 10m,non-stop,"41,528"
15/01/2023,16/01/2023,"Air India 
AI-542
BUSINESS","09:45
Delhi","14:55
Mumbai",05h 10m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-544
BUSINESS","16:50
Delhi","00:05
Mumbai",07h 15m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-560
BUSINESS","07:10
Delhi","14:55
Mumbai",07h 45m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-542
BUSINESS","09:45
Delhi","00:05
Mumbai",14h 20m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-560
BUSINESS","07:10
Delhi","00:05
Mumbai",16h 55m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-544
BUSINESS","16:50
Delhi","14:55
Mumbai",22h 05m,1-stop,"44,450"
15/01/2023,16/01/2023,"Air India 
AI-485
BUSINESS","05:30
Delhi","16:25
Mumbai",10h 55m,1-stop,"50,822"
15/01/2023,16/01/2023,"Air India 
AI-451
BUSINESS","14:40
Delhi","16:25
Mumbai",25h 45m,1-stop,"50,822"
15/01/2023,16/01/2023,"Vistara 
UK-927
BUSINESS","09:30
Delhi","11:35
Mumbai",02h 05m,non-stop,"49,020"
15/01/2023,16/01/2023,"Vistara 
UK-963
BUSINESS","08:50
Delhi","11:10
Mumbai",02h 20m,non-stop,"49,020"
15/01/2023,16/01/2023,"Vistara 
UK-969
BUSINESS","18:00
Delhi","06:15
Mumbai",12h 15m,1-stop,"49,166"
15/01/2023,16/01/2023,"Air India 
AI-883
BUSINESS","22:00
Delhi","08:10
Mumbai",10h 10m,1-stop,"52,268"
15/01/2023,16/01/2023,"Air India 
AI-883
BUSINESS","22:00
Delhi","00:20
Mumbai",26h 20m,1-stop,"52,268"
15/01/2023,16/01/2023,"Vistara 
UK-785
BUSINESS","06:55
Delhi","00:40
Mumbai",17h 45m,1-stop,"51,070"
15/01/2023,16/01/2023,"Air India 
AI-425
BUSINESS","05:45
Delhi","08:05
Mumbai",26h 20m,1-stop,"53,822"
15/01/2023,16/01/2023,"Vistara 
UK-855
BUSINESS","18:40
Delhi","00:15
Mumbai",05h 35m,1-stop,"52,302"
15/01/2023,16/01/2023,"Vistara 
UK-637
BUSINESS","16:45
Delhi","22:00
Mumbai",05h 15m,1-stop,"54,044"
15/01/2023,16/01/2023,"Vistara 
UK-706
BUSINESS","13:45
Delhi","22:00
Mumbai",08h 15m,1-stop,"54,044"
15/01/2023,16/01/2023,"Air India 
AI-540
BUSINESS","20:40
Delhi","08:10
Mumbai",11h 30m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-537
BUSINESS","16:10
Delhi","23:40
Mumbai",07h 30m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-554
BUSINESS","11:50
Delhi","23:40
Mumbai",11h 50m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-558
BUSINESS","19:40
Delhi","08:10
Mumbai",12h 30m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-815
BUSINESS","15:35
Delhi","21:30
Mumbai",05h 55m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-506
BUSINESS","09:45
Delhi","21:30
Mumbai",11h 45m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-813
BUSINESS","08:00
Delhi","21:30
Mumbai",13h 30m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-803
BUSINESS","06:10
Delhi","21:30
Mumbai",15h 20m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-502
BUSINESS","13:30
Delhi","21:30
Mumbai",08h 00m,1-stop,"58,025"
15/01/2023,16/01/2023,"Vistara 
UK-933
BUSINESS","15:30
Delhi","17:35
Mumbai",02h 05m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-993
BUSINESS","12:50
Delhi","15:00
Mumbai",02h 10m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-955
BUSINESS","17:45
Delhi","19:55
Mumbai",02h 10m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-995
BUSINESS","10:20
Delhi","12:35
Mumbai",02h 15m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-945
BUSINESS","11:40
Delhi","13:55
Mumbai",02h 15m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-977
BUSINESS","19:00
Delhi","21:15
Mumbai",02h 15m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-985
BUSINESS","19:45
Delhi","22:00
Mumbai",02h 15m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-957
BUSINESS","20:40
Delhi","22:55
Mumbai",02h 15m,non-stop,"56,860"
15/01/2023,16/01/2023,"Vistara 
UK-941
BUSINESS","16:35
Delhi","19:05
Mumbai",02h 30m,non-stop,"56,860"
15/01/2023,16/01/2023,"Air India 
AI-537
BUSINESS","16:10
Delhi","22:15
Mumbai",06h 05m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-554
BUSINESS","11:50
Delhi","22:15
Mumbai",10h 25m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-537
BUSINESS","16:10
Delhi","08:10
Mumbai",16h 00m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-439
BUSINESS","05:45
Delhi","22:15
Mumbai",16h 30m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-439
BUSINESS","05:45
Delhi","23:40
Mumbai",17h 55m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-554
BUSINESS","11:50
Delhi","08:10
Mumbai",20h 20m,1-stop,"57,074"
15/01/2023,16/01/2023,"Air India 
AI-833
BUSINESS","04:55
Delhi","22:25
Mumbai",17h 30m,1-stop,"60,189"
15/01/2023,16/01/2023,"Vistara 
UK-817
BUSINESS","16:05
Delhi","23:20
Mumbai",07h 15m,1-stop,"58,025"
15/01/2023,16/01/2023,"Vistara 
UK-819
BUSINESS","14:10
Delhi","23:20
Mumbai",09h 10m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-504
BUSINESS","21:10
Delhi","08:35
Mumbai",11h 25m,1-stop,"58,025"
15/01/2023,16/01/2023,"Air India 
AI-504
BUSINESS","21:10
Delhi","09:40
Mumbai",12h 30m,1-stop,"58,025"
15/01/2023,16/01/2023,"Vistara 
UK-705
BUSINESS","07:30
Delhi","13:00
Mumbai",05h 30m,1-stop,"62,057"
15/01/2023,16/01/2023,"Vistara 
UK-747
BUSINESS","06:30
Delhi","13:00
Mumbai",06h 30m,1-stop,"62,057"
15/01/2023,16/01/2023,"Vistara 
UK-737
BUSINESS","15:45
Delhi","23:30
Mumbai",07h 45m,1-stop,"62,057"
15/01/2023,16/01/2023,"Vistara 
UK-705
BUSINESS","07:30
Delhi","20:20
Mumbai",12h 50m,1-stop,"62,057"
15/01/2023,16/01/2023,"Vistara 
UK-747
BUSINESS","06:30
Delhi","20:20
Mumbai",13h 50m,1-stop,"62,057"
15/01/2023,16/01/2023,"Vistara 
UK-847
BUSINESS","11:10
Delhi","00:15
Mumbai",13h 05m,1-stop,"63,418"
15/01/2023,16/01/2023,"Air India 
AI-406
BUSINESS","10:15
Delhi","15:50
Mumbai",05h 35m,1-stop,"67,366"
15/01/2023,16/01/2023,"Vistara 
UK-817
BUSINESS","16:05
Delhi","21:40
Mumbai",05h 35m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-819
BUSINESS","14:10
Delhi","20:15
Mumbai",06h 05m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-819
BUSINESS","14:10
Delhi","20:40
Mumbai",06h 30m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-819
BUSINESS","14:10
Delhi","21:40
Mumbai",07h 30m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-815
BUSINESS","08:10
Delhi","20:15
Mumbai",12h 05m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-815
BUSINESS","08:10
Delhi","20:40
Mumbai",12h 30m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-815
BUSINESS","08:10
Delhi","21:40
Mumbai",13h 30m,1-stop,"66,621"
15/01/2023,16/01/2023,"Vistara 
UK-879
BUSINESS","17:35
Delhi","23:10
Mumbai",05h 35m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-899
BUSINESS","14:45
Delhi","23:10
Mumbai",08h 25m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-871
BUSINESS","20:40
Delhi","08:15
Mumbai",11h 35m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-859
BUSINESS","10:30
Delhi","23:10
Mumbai",12h 40m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-871
BUSINESS","20:40
Delhi","10:00
Mumbai",13h 20m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-879
BUSINESS","17:35
Delhi","08:15
Mumbai",14h 40m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-879
BUSINESS","17:35
Delhi","10:00
Mumbai",16h 25m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-871
BUSINESS","20:40
Delhi","14:35
Mumbai",17h 55m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-879
BUSINESS","17:35
Delhi","14:35
Mumbai",21h 00m,1-stop,"68,105"
15/01/2023,16/01/2023,"Vistara 
UK-839
BUSINESS","13:40
Delhi","22:30
Mumbai",08h 50m,1-stop,"68,441"
15/01/2023,16/01/2023,"Vistara 
UK-833
BUSINESS","07:40
Delhi","22:30
Mumbai",14h 50m,1-stop,"68,441"
15/01/2023,16/01/2023,"Vistara 
UK-809
BUSINESS","19:55
Delhi","08:20
Mumbai",12h 25m,1-stop,"73,414"
15/01/2023,16/01/2023,"Air India 
AI-429
BUSINESS","09:45
Delhi","22:15
Mumbai",12h 30m,1-stop,"73,701"
15/01/2023,16/01/2023,"Air India 
AI-429
BUSINESS","09:45
Delhi","23:40
Mumbai",13h 55m,1-stop,"73,701"
15/01/2023,16/01/2023,"Vistara 
UK-829
BUSINESS","07:20
Delhi","14:35
Mumbai",07h 15m,1-stop,"74,713"
15/01/2023,16/01/2023,"Vistara 
UK-809
BUSINESS","19:55
Delhi","10:10
Mumbai",14h 15m,1-stop,"77,222"
15/01/2023,16/01/2023,"Vistara 
UK-833
BUSINESS","07:40
Delhi","14:30
Mumbai",06h 50m,1-stop,"80,761"
15/01/2023,16/01/2023,"Vistara 
UK-811
BUSINESS","05:35
Delhi","20:15
Mumbai",14h 40m,1-stop,"82,010"
15/01/2023,16/01/2023,"Vistara 
UK-835
BUSINESS","20:10
Delhi","09:00
Mumbai",12h 50m,1-stop,"87,481"
15/01/2023,16/01/2023,"Vistara 
UK-837
BUSINESS","17:35
Delhi","09:00
Mumbai",15h 25m,1-stop,"87,481"
15/01/2023,16/01/2023,"Vistara 
UK-801
BUSINESS","09:05
Delhi","23:20
Mumbai",14h 15m,1-stop,"87,627"
15/01/2023,16/01/2023,"Vistara 
UK-801
BUSINESS","09:05
Delhi","20:15
Mumbai",11h 10m,1-stop,"96,223"
15/01/2023,16/01/2023,"Vistara 
UK-801
BUSINESS","09:05
Delhi","20:40
Mumbai",11h 35m,1-stop,"96,223"
15/01/2023,16/01/2023,"Vistara 
UK-801
BUSINESS","09:05
Delhi","21:40
Mumbai",12h 35m,1-stop,"96,223"
15/01/2023,16/01/2023,"Air India 
AI-805
FIRST","20:00
Delhi","22:10
Mumbai",02h 10m,non-stop,"51,443"
15/01/2023,17/01/2023,"SpiceJet 
SG-2976
ECONOMY","20:10
Delhi","10:30
Mumbai",14h 20m,1-stop,"4,460"
15/01/2023,17/01/2023,"SpiceJet 
SG-8709
ECONOMY","18:10
Delhi","20:05
Mumbai",01h 55m,non-stop,"5,335"
15/01/2023,17/01/2023,"SpiceJet 
SG-8169
ECONOMY","20:00
Delhi","22:05
Mumbai",02h 05m,non-stop,"5,335"
15/01/2023,17/01/2023,"SpiceJet 
SG-8701
ECONOMY","07:00
Delhi","09:15
Mumbai",02h 15m,non-stop,"5,335"
15/01/2023,17/01/2023,"AirAsia 
I5-743
ECONOMY","04:55
Delhi","13:05
Mumbai",08h 10m,1-stop,"5,431"
15/01/2023,17/01/2023,"AirAsia 
I5-743
ECONOMY","04:55
Delhi","19:35
Mumbai",14h 40m,1-stop,"5,431"
15/01/2023,17/01/2023,"Indigo 
6E-5218
ECONOMY","06:30
Delhi","08:45
Mumbai",02h 15m,non-stop,"5,794"
15/01/2023,17/01/2023,"Indigo 
6E-2112
ECONOMY","04:45
Delhi","07:15
Mumbai",02h 30m,non-stop,"5,794"
15/01/2023,17/01/2023,"Indigo 
6E-2716
ECONOMY","02:00
Delhi","04:15
Mumbai",02h 15m,non-stop,"5,899"
15/01/2023,17/01/2023,"GO FIRST 
G8-2501
ECONOMY","02:40
Delhi","04:50
Mumbai",02h 10m,non-stop,"5,801"
15/01/2023,17/01/2023,"GO FIRST 
G8- 354
ECONOMY","22:30
Delhi","00:40
Mumbai",02h 10m,non-stop,"5,801"
15/01/2023,17/01/2023,"GO FIRST 
G8- 330
ECONOMY","21:00
Delhi","23:15
Mumbai",02h 15m,non-stop,"5,801"
15/01/2023,17/01/2023,"GO FIRST 
G8- 346
ECONOMY","20:00
Delhi","22:05
Mumbai",02h 05m,non-stop,"5,899"
15/01/2023,17/01/2023,"GO FIRST 
G8- 530
ECONOMY","06:00
Delhi","08:10
Mumbai",02h 10m,non-stop,"5,899"
15/01/2023,17/01/2023,"GO FIRST 
G8- 334
ECONOMY","07:20
Delhi","09:30
Mumbai",02h 10m,non-stop,"5,899"
15/01/2023,17/01/2023,"GO FIRST 
G8- 323
ECONOMY","17:55
Delhi","20:10
Mumbai",02h 15m,non-stop,"5,899"
15/01/2023,17/01/2023,"Air India 
AI-805
ECONOMY","20:00
Delhi","22:10
Mumbai",02h 10m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-887
ECONOMY","07:00
Delhi","09:15
Mumbai",02h 15m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-605
ECONOMY","21:20
Delhi","23:35
Mumbai",02h 15m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-814
ECONOMY","22:30
Delhi","00:45
Mumbai",02h 15m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-665
ECONOMY","08:00
Delhi","10:20
Mumbai",02h 20m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-678
ECONOMY","09:00
Delhi","11:20
Mumbai",02h 20m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-441
ECONOMY","17:50
Delhi","20:15
Mumbai",02h 25m,non-stop,"5,955"
15/01/2023,17/01/2023,"Air India 
AI-624
ECONOMY","19:00
Delhi","21:25
Mumbai",02h 25m,non-stop,"5,955"
15/01/2023,17/01/2023,"AkasaAir 
QP-1128
ECONOMY","16:10
Delhi","18:20
Mumbai",02h 10m,non-stop,"5,690"
15/01/2023,17/01/2023,"Indigo 
6E-5318
ECONOMY","16:25
Delhi","18:40
Mumbai",02h 15m,non-stop,"5,794"
15/01/2023,17/01/2023,"GO FIRST 
G8- 336
ECONOMY","14:35
Delhi","16:45
Mumbai",02h 10m,non-stop,"5,899"
15/01/2023,17/01/2023,"Air India 
AI-863
ECONOMY","14:00
Delhi","16:20
Mumbai",02h 20m,non-stop,"5,955"
15/01/2023,17/01/2023,"Indigo 
6E-2138
ECONOMY","12:00
Delhi","14:20
Mumbai",02h 20m,non-stop,"7,319"
15/01/2023,17/01/2023,"Indigo 
6E-2208
ECONOMY","22:45
Delhi","07:25
Mumbai",08h 40m,1-stop,"6,205"
15/01/2023,17/01/2023,"Indigo 
6E-2519
ECONOMY","23:00
Delhi","01:20
Mumbai",02h 20m,non-stop,"6,277"
